StateWellNumber|County|Aquifer|Status|MeasurementMonth|MeasurementDay|MeasurementYear|MeasurementDate|MeasurementTime|DepthFromLSD|LandElevation|LandElevationMethod|WaterElevation|MeasurementNumber|MeasuringAgency|MethodOfMeasurement|Remarks|Comments|CreatedDate|LastUpdateDate
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|23|1974|1974-12-23||130|4702|Interpolated From Topo Map|4572|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|1|22|1975|1975-01-22||128.36|4702|Interpolated From Topo Map|4573.64|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Questionable|1|22|1976|1976-01-22||133.04|4702|Interpolated From Topo Map|4568.96|1|Texas Water Development Board|Steel Tape| Well pumped recently||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Questionable|1|4|1977|1977-01-04||136.89|4702|Interpolated From Topo Map|4565.11|1|Texas Water Development Board|Steel Tape|||2010-10-15|2016-05-11
0140301|Dallam|Ogallala/Rita Blanca|Publishable|1|12|1978|1978-01-12||137.56|4702|Interpolated From Topo Map|4564.44|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|11|6|1979|1979-11-06||139.33|4702|Interpolated From Topo Map|4562.67|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|17|1980|1980-12-17||140.98|4702|Interpolated From Topo Map|4561.02|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|7|1982|1982-12-07||141.93|4702|Interpolated From Topo Map|4560.07|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|4|1984|1984-12-04||145.3|4702|Interpolated From Topo Map|4556.7|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|11|1985|1985-12-11||142.2|4702|Interpolated From Topo Map|4559.8|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|1|13|1987|1987-01-13||133.8|4702|Interpolated From Topo Map|4568.2|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|7|1987|1987-12-07||144.05|4702|Interpolated From Topo Map|4557.95|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|9|1988|1988-12-09||147.2|4702|Interpolated From Topo Map|4554.8|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|5|1989|1989-12-05||147.5|4702|Interpolated From Topo Map|4554.5|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|5|1990|1990-12-05||151.8|4702|Interpolated From Topo Map|4550.2|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|13|1991|1991-12-13||147.95|4702|Interpolated From Topo Map|4554.05|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|1|5|1993|1993-01-05||146.59|4702|Interpolated From Topo Map|4555.41|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|7|1993|1993-12-07||148.2|4702|Interpolated From Topo Map|4553.8|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|12|1994|1994-12-12||147.72|4702|Interpolated From Topo Map|4554.28|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|7|1995|1995-12-07||151.05|4702|Interpolated From Topo Map|4550.95|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|12|1996|1996-12-12||152.95|4702|Interpolated From Topo Map|4549.05|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
0140301|Dallam|Ogallala/Rita Blanca|Publishable|12|4|1997|1997-12-04||156.62|4702|Interpolated From Topo Map|4545.38|1|Texas Water Development Board|Steel Tape|||2010-10-15|2010-10-15
