StateWellNumber|County|Aquifer|Diameter|TopDepth|BottomDepth|CreatedDate|LastUpdateDate
0233604|Dallam|Ogallala|9|0|600|2016-07-14|2016-07-14
0233702|Dallam|Ogallala|25|0|363|2016-07-26|2016-07-26
0234810|Dallam|Rita Blanca|9.875|0|600|2016-07-26|2016-07-26
0235206|Dallam|Ogallala|12.25|0|270|2016-09-26|2016-09-26
0235404|Dallam|Ogallala|9|0|600|2016-07-27|2016-07-27
0235803|Dallam|Ogallala|9|0|600|2016-07-27|2016-07-27
0235901|Dallam|Rita Blanca|9|0|600|2016-07-27|2016-07-27
0236304|Dallam|Rita Blanca|9.875|0|560|2016-07-27|2016-07-27
0236903|Dallam|Ogallala|9|0|600|2016-07-27|2016-07-27
0239502|Dallam|Ogallala|9|0|540|2016-07-27|2016-07-27
0239703|Dallam|Dockum|9|0|540|2016-07-27|2016-07-27
0241305|Dallam|Ogallala|9|0|600|2016-07-27|2016-07-27
0246102|Dallam|Unassigned|9|0|520|2016-07-27|2016-07-27
0247403|Dallam|Unassigned|9|0|540|2016-07-27|2016-07-27
0248213|Sherman|Ogallala|9|0|465|2016-07-27|2016-07-27
0255105|Dallam|Unassigned|9|0|680|2016-07-27|2016-07-27
0259403|Hartley|Ogallala|9|0|555|2016-07-29|2016-07-29
0260302|Dallam|Ogallala|25|0|550|2016-07-29|2016-07-29
0260303|Dallam|Ogallala|9|0|560|2016-07-29|2016-07-29
0260502|Dallam|Ogallala|25|0|592|2016-07-29|2016-07-29
0260616|Dallam|Ogallala|24|0|551|2016-07-29|2016-07-29
0261804|Hartley|Ogallala|9|0|565|2016-07-29|2016-07-29
0264407|Moore|Ogallala|9|0|625|2016-07-29|2016-07-29
0335702|Sherman|Ogallala|9|0|535|2016-07-29|2016-07-29
0339603|Hansford|Ogallala|9|0|580|2016-07-29|2016-07-29
0341103|Sherman|Ogallala|9|0|470|2016-07-29|2016-07-29
0342903|Sherman|Ogallala|9|0|555|2016-07-29|2016-07-29
0352203|Hansford|Ogallala|9|0|510|2016-07-29|2016-07-29
0355203|Hansford|Ogallala|22|0|663|2016-09-26|2016-09-26
0358709|Moore|Ogallala|9.875|0|515|2016-07-29|2016-07-29
0359105|Sherman|Ogallala|9|0|475|2016-07-29|2016-07-29
0359301|Sherman|Ogallala|9|0|450|2016-07-29|2016-07-29
0439903|Lipscomb|Ogallala|9|0|460|2016-07-29|2016-07-29
0440103|Lipscomb|Ogallala|9|0|405|2016-07-29|2016-07-29
0441302|Ochiltree|Ogallala|9|0|515|2016-07-29|2016-07-29
0443701|Ochiltree|Ogallala|9|0|530|2016-07-29|2016-07-29
0448401|Lipscomb|Ogallala|9|0|360|2016-07-29|2016-07-29
0453801|Lipscomb|Unassigned|9|0|420|2016-07-29|2016-07-29
0454902|Lipscomb|Ogallala|9|0|530|2016-07-29|2016-07-29
0459402|Ochiltree|Ogallala|9|0|595|2016-07-29|2016-07-29
0460402|Ochiltree|Ogallala|6.25|0|437|2016-07-29|2016-07-29
0461702|Hemphill|Ogallala|9|0|290|2016-08-01|2016-08-01
0463502|Lipscomb|Ogallala|9|0|590|2016-08-01|2016-08-01
0505507|Hemphill|Ogallala|11|0|125|2017-04-17|2017-04-17
0506719|Hemphill|Ogallala|11.5|0|140|2016-08-01|2016-08-01
0509510|Roberts|Ogallala|9.875|0|635|2016-08-01|2016-08-01
